Folder,Model,Custom_metric
21,cb:0.1-cf:0.9,0.4103833333333334
21,cb:0.2-cf:0.8,0.4087166666666668
21,cb:0.30000000000000004-cf:0.7000000000000001,0.4111388888888889
21,cb:0.4-cf:0.6000000000000001,0.4069555555555557
21,cb:0.5-cf:0.5,0.40281666666666677
21,cb:0.6000000000000001-cf:0.4,0.39262222222222226
21,cb:0.7000000000000001-cf:0.30000000000000004,0.3654555555555558
21,cb:0.8-cf:0.2,0.3237055555555559
21,cb:0.9-cf:0.1,0.27054444444444464
21,cb:1.0-cf:0.0,0.1953666666666666
22,cb:0.0-cf:1.0,0.40585000000000016
22,cb:0.1-cf:0.9,0.4089055555555556
22,cb:0.2-cf:0.8,0.40609999999999996
22,cb:0.30000000000000004-cf:0.7000000000000001,0.40625555555555554
22,cb:0.4-cf:0.6000000000000001,0.4035055555555556
22,cb:0.5-cf:0.5,0.3988444444444445
22,cb:0.6000000000000001-cf:0.4,0.3903722222222222
22,cb:0.7000000000000001-cf:0.30000000000000004,0.3681722222222223
22,cb:0.8-cf:0.2,0.3239777777777782
22,cb:0.9-cf:0.1,0.27703888888888917
22,cb:1.0-cf:0.0,0.1973944444444444
23,cb:0.0-cf:1.0,0.39235
23,cb:0.1-cf:0.9,0.39046111111111115
23,cb:0.2-cf:0.8,0.3890833333333334
23,cb:0.30000000000000004-cf:0.7000000000000001,0.3903666666666668
23,cb:0.4-cf:0.6000000000000001,0.3859055555555557
23,cb:0.5-cf:0.5,0.3837611111111113
23,cb:0.6000000000000001-cf:0.4,0.37358333333333366
23,cb:0.7000000000000001-cf:0.30000000000000004,0.3538611111111116
23,cb:0.8-cf:0.2,0.3125944444444449
23,cb:0.9-cf:0.1,0.2639888888888891
23,cb:1.0-cf:0.0,0.19097777777777772
24,cb:0.0-cf:1.0,0.3915222222222221
24,cb:0.1-cf:0.9,0.394661111111111
24,cb:0.2-cf:0.8,0.39491111111111105
24,cb:0.30000000000000004-cf:0.7000000000000001,0.3967444444444445
24,cb:0.4-cf:0.6000000000000001,0.38891111111111126
24,cb:0.5-cf:0.5,0.38374444444444444
24,cb:0.6000000000000001-cf:0.4,0.37452222222222237
24,cb:0.7000000000000001-cf:0.30000000000000004,0.35227777777777797
24,cb:0.8-cf:0.2,0.317516666666667
24,cb:0.9-cf:0.1,0.27128333333333354
24,cb:1.0-cf:0.0,0.19461111111111112
25,cb:0.0-cf:1.0,0.404916666666667
25,cb:0.1-cf:0.9,0.4070000000000003
25,cb:0.2-cf:0.8,0.40613888888888916
25,cb:0.30000000000000004-cf:0.7000000000000001,0.4050333333333337
25,cb:0.4-cf:0.6000000000000001,0.40361666666666696
25,cb:0.5-cf:0.5,0.3956500000000004
25,cb:0.6000000000000001-cf:0.4,0.38700000000000023
25,cb:0.7000000000000001-cf:0.30000000000000004,0.35925555555555594
25,cb:0.8-cf:0.2,0.3238055555555559
25,cb:0.9-cf:0.1,0.2717500000000001
25,cb:1.0-cf:0.0,0.20099999999999996
26,cb:0.0-cf:1.0,0.40208333333333357
26,cb:0.1-cf:0.9,0.40527777777777807
26,cb:0.2-cf:0.8,0.40226666666666694
26,cb:0.30000000000000004-cf:0.7000000000000001,0.4027000000000002
26,cb:0.4-cf:0.6000000000000001,0.39981111111111134
26,cb:0.5-cf:0.5,0.393566666666667
26,cb:0.6000000000000001-cf:0.4,0.38426666666666703
26,cb:0.7000000000000001-cf:0.30000000000000004,0.3589555555555559
26,cb:0.8-cf:0.2,0.3263666666666672
26,cb:0.9-cf:0.1,0.271888888888889
26,cb:1.0-cf:0.0,0.20096111111111112
27,cb:0.0-cf:1.0,0.3930222222222226
27,cb:0.1-cf:0.9,0.3951333333333336
27,cb:0.2-cf:0.8,0.3945333333333336
27,cb:0.30000000000000004-cf:0.7000000000000001,0.3961944444444446
27,cb:0.4-cf:0.6000000000000001,0.3901944444444446
27,cb:0.5-cf:0.5,0.38535555555555584
27,cb:0.6000000000000001-cf:0.4,0.3773000000000001
27,cb:0.7000000000000001-cf:0.30000000000000004,0.3522777777777782
27,cb:0.8-cf:0.2,0.31541666666666696
27,cb:0.9-cf:0.1,0.26492777777777793
27,cb:1.0-cf:0.0,0.19085555555555553
28,cb:0.0-cf:1.0,0.40291666666666676
28,cb:0.1-cf:0.9,0.40541666666666676
28,cb:0.2-cf:0.8,0.4047944444444446
28,cb:0.30000000000000004-cf:0.7000000000000001,0.404838888888889
28,cb:0.4-cf:0.6000000000000001,0.4020055555555557
28,cb:0.5-cf:0.5,0.39652222222222233
28,cb:0.6000000000000001-cf:0.4,0.3864277777777779
28,cb:0.7000000000000001-cf:0.30000000000000004,0.36141111111111135
28,cb:0.8-cf:0.2,0.3247222222222226
28,cb:0.9-cf:0.1,0.2791555555555557
28,cb:1.0-cf:0.0,0.20703888888888886
29,cb:0.0-cf:1.0,0.4159722222222221
29,cb:0.1-cf:0.9,0.41977777777777775
29,cb:0.2-cf:0.8,0.41735
29,cb:0.30000000000000004-cf:0.7000000000000001,0.42001666666666665
29,cb:0.4-cf:0.6000000000000001,0.4207944444444444
29,cb:0.5-cf:0.5,0.4180833333333333
